country,code,forest_area,rural_pop,access_electricity,pop_growth,GDP_growth,working_age_pop,life_expectancy
Mauritania,MRT,0.30348307,44.673,45.4,,-2.9023598,54.3191682,64.532
Mauritius,MUS,19.4141212,59.24,99.4640198,,-14.548496,71.187157,74.1770732
Malawi,MWI,23.7770471,82.573,11.5,,-1.8515998,53.4832745,63.717
Malaysia,MYS,58.1769594,22.84,100,,-6.5844533,69.7111909,75.938
North America,NAC,36.2569304,17.4463305,100,,-3.8892327,65.3525883,77.4635169
Namibia,NAM,8.06386571,47.967,52.3,,-9.6688212,59.7637176,62.829
New Caledonia,NCL,45.8435449,28.482,100,,-2.3423934,66.888615,80.8349512
Niger,NER,0.85237231,83.374,18.7219105,,-0.2377583,48.6159355,61.451
Nigeria,NGA,23.7457865,48.042,55.4,,-4.1620593,53.4955822,52.887
Nicaragua,NIC,28.3158551,40.988,86.0033035,,-3.103558,64.5395122,71.795
Netherlands,NLD,10.974161,7.764,100,,-4.4185555,64.7526787,81.3585366
Norway,NOR,33.4353597,17.026,100,,-1.8576961,65.0589079,83.2097561
Nepal,NPL,41.590722,79.424,89.9,,-4.0865686,63.8443195,69.246
Nauru,NRU,0,0,100,,2.68832965,58.9118961,63.437
New Zealand,NZL,37.5701265,13.301,100,,-2.8203225,65.3534233,82.2560976
OECD members,OED,32.7602479,18.9722805,99.9340747,,-4.6975937,64.9862788,78.9000395
Oman,OMN,0.00807754,13.724,100,,-2.1171685,71.6002019,74.757
Other small states,OSS,28.7244313,37.1004687,78.3031072,,-5.8760084,64.3073665,68.2555748
Pakistan,PAK,4.83330739,62.835,94.4852829,,-2.9702946,58.5534424,66.269
Panama,PAN,56.805608,31.586,95.3360138,,-18.854382,64.9574626,76.657
Peru,PER,56.5081016,21.703,96.2,,-12.153938,65.072595,73.665
Philippines,PHL,24.1090318,52.592,96.3902893,,-10.978194,63.8366365,72.119
Palau,PLW,90.0217391,19.012,100,,-7.837574,69.9616069,
Papua New Guinea,PNG,79.1762576,86.655,20.4961185,,-5.2248176,62.0495064,65.787
Poland,POL,30.9770359,39.957,100,,-1.8483948,66.2779564,76.5
Pre-demographic dividend,PRE,25.811666,57.5208261,48.3825863,,-5.1925837,53.6114808,60.2495318
Puerto Rico,PRI,55.9560316,6.419,100,,-6.7677565,64.3548217,78.041
"Korea, Dem. People's Rep.",PRK,50.0796445,37.619,50.5202942,,,69.8856869,73.274
Portugal,PRT,36.1549949,33.69,100,,-8.396855,64.2076135,80.9756098
Paraguay,PRY,40.5292223,37.817,99.7,,-2.1484779,64.6306258,73.182
West Bank and Gaza,PSE,1.68438538,23.281,100,,-13.496387,57.0909201,74.403
Pacific island small states,PSS,68.485113,60.9051764,86.4295282,,-11.385696,60.6126327,69.3649211
Post-demographic dividend,PST,32.1108746,18.3373894,99.9974572,,-4.7136931,64.48818,80.0044581
French Polynesia,PYF,43.059637,38.025,100,,-7.7292056,68.6441253,82.217
Qatar,QAT,0,0.765,100,,-1.9207576,83.3925159,79.099
Romania,ROU,30.1158293,45.806,99.9952164,,-3.1455416,65.2959874,74.2536585
Russian Federation,RUS,49.7843361,25.246,99.8977814,,-2.4510269,67.0134619,71.3387805
Rwanda,RWA,11.1876773,82.568,45.1901093,,-5.6647681,57.5710321,66.774
South Asia,SAS,18.8210548,65.1067942,96.1949615,,-5.6845433,65.838687,69.7483309
Saudi Arabia,SAU,0.45448413,15.713,99.99,,-4.7924676,71.562299,76.239
Sudan,SDN,9.82845289,64.747,59.6956978,,-6.2502281,55.4843628,65.614
